Codigo;provincia;es-ES;us-EN;gl-ES
1;1;Alegría-Dulantzi;Alegría-Dulantzi;Alegría-Dulantzi
3;1;Añana;Añana;Añana
2;1;Amurrio;Amurrio;Amurrio
6;1;Arraia-Maeztu;Arraia-Maeztu;Arraia-Maeztu
4;1;Aramaio;Aramaio;Aramaio
5;1;Armión;Armión;Armión
7;1;Arrazua-Ubarrundia;Arrazua-Ubarrundia;Arrazua-Ubarrundia
8;1;Artziniega;Artziniega;Artziniega
9;1;Asparrena;Asparrena;Asparrena
10;1;Ayala;Ayala;Ayala
11;1;Baños de Ebro;Baños de Ebro;Baños de Ebro
23;1;Barrundia;Barrundia;Barrundia
24;1;Berantevilla;Berantevilla;Berantevilla
25;1;Bernedo;Bernedo;Bernedo
26;1;Campezo;Campezo;Campezo
27;1;Elburgo;Elburgo;Elburgo
28;1;Elciego;Elciego;Elciego
29;1;Elvillar;Elvillar;Elvillar
30;1;Valle de Arana;Valle de Arana;Valle de Arana
31;1;Iruña de Oca;Iruña de Oca;Iruña de Oca
32;1;Iruraiz-Gauna;Iruraiz-Gauna;Iruraiz-Gauna
33;1;Kripan;Kripan;Kripan
34;1;Kuartango;Kuartango;Kuartango
35;1;Labastida;Labastida;Labastida
36;1;Lagrán;Lagrán;Lagrán
37;1;Laguardia;Laguardia;Laguardia
38;1;Lanciego;Lanciego;Lanciego
39;1;Lantarón;Lantarón;Lantarón
40;1;Lapuebla de Labarca;Lapuebla de Labarca;Lapuebla de Labarca
41;1;Llodio;Llodio;Llodio
42;1;Legutiano;Legutiano;Legutiano
43;1;Leza;Leza;Leza
44;1;Moreda de Álava;Moreda de Álava;Moreda de Álava
45;1;Navaridas;Navaridas;Navaridas
46;1;Okondo;Okondo;Okondo
47;1;Oyón;Oyón;Oyón
48;1;Peñacerrada;Peñacerrada;Peñacerrada
49;1;Ribera Alta;Ribera Alta;Ribera Alta
50;1;Ribera Baja;Ribera Baja;Ribera Baja
51;1;Salvatierra;Salvatierra;Salvatierra
52;1;Samaniego;Samaniego;Samaniego
53;1;San Millán;San Millán;San Millán
54;1;Urkabustaiz;Urkabustaiz;Urkabustaiz
55;1;Valdegovía;Valdegovía;Valdegovía
56;1;Villabuena de Álava;Villabuena de Álava;Villabuena de Álava
57;1;Vitoria-Gasteiz;Vitoria-Gasteiz;Vitoria-Gasteiz
58;1;Yécora;Yécora;Yécora
59;1;Zalduondo;Zalduondo;Zalduondo
60;1;Zambrana;Zambrana;Zambrana
61;1;Zigoitia;Zigoitia;Zigoitia
62;1;Zuia;Zuia;Zuia
64;2;Abengibre;Abengibre;Abengibre
65;2;Alatoz;Alatoz;Alatoz
66;2;Albacete;Albacete;Albacete
67;2;Albatana;Albatana;Albatana
68;2;Alborea;Alborea;Alborea
69;2;Alcadozo;Alcadozo;Alcadozo
70;2;Alcalá del Júcar;Alcalá del Júcar;Alcalá del Júcar
71;2;Alcaraz;Alcaraz;Alcaraz
72;2;Almansa;Almansa;Almansa
73;2;Alpera;Alpera;Alpera
74;2;Ayna;Ayna;Ayna
75;2;Balazote;Balazote;Balazote
76;2;Ballestero;Ballestero;Ballestero
77;2;Balsa de Ves;Balsa de Ves;Balsa de Ves
78;2;Barrax;Barrax;Barrax
79;2;Bienservida;Bienservida;Bienservida
80;2;Bogarra;Bogarra;Bogarra
81;2;Bonete;Bonete;Bonete
82;2;Bonillo;Bonillo;Bonillo
83;2;Carcelén;Carcelén;Carcelén
84;2;Casas de Juan Núñez;Casas de Juan Núñez;Casas de Juan Núñez
85;2;Casas de Lázaro;Casas de Lázaro;Casas de Lázaro
86;2;Casas de Ves;Casas de Ves;Casas de Ves
87;2;Casas-Ibáñez;Casas-Ibáñez;Casas-Ibáñez
88;2;Caudete;Caudete;Caudete
89;2;Cenizate;Cenizate;Cenizate
90;2;Chinchilla de Monte-Aragón;Chinchilla de Monte-Aragón;Chinchilla de Monte-Aragón
91;2;Corral-Rubio;Corral-Rubio;Corral-Rubio
92;2;Cotillas;Cotillas;Cotillas
93;2;Elche de la Sierra;Elche de la Sierra;Elche de la Sierra
94;2;Férez;Férez;Férez
95;2;Fuensanta;Fuensanta;Fuensanta
96;2;Fuente-Álamo;Fuente-Álamo;Fuente-Álamo
97;2;Fuentealbilla;Fuentealbilla;Fuentealbilla
98;2;Gineta;Gineta;Gineta
99;2;Golosalvo;Golosalvo;Golosalvo
100;2;Hellín;Hellín;Hellín
101;2;Herrera;Herrera;Herrera
102;2;Higueruela;Higueruela;Higueruela
103;2;Hoya-Gonzalo;Hoya-Gonzalo;Hoya-Gonzalo
104;2;Jorquera;Jorquera;Jorquera
105;2;Letur;Letur;Letur
106;2;Lezuza;Lezuza;Lezuza
107;2;Liétor;Liétor;Liétor
108;2;Madrigueras;Madrigueras;Madrigueras
109;2;Mahora;Mahora;Mahora
110;2;Masegoso;Masegoso;Masegoso
111;2;Minaya;Minaya;Minaya
112;2;Molinicos;Molinicos;Molinicos
113;2;Montalvos;Montalvos;Montalvos
114;2;Montealegre del Castillo;Montealegre del Castillo;Montealegre del Castillo
115;2;Motilleja;Motilleja;Motilleja
116;2;Munera;Munera;Munera
117;2;Navas de Jorquera;Navas de Jorquera;Navas de Jorquera
118;2;Nerpio;Nerpio;Nerpio
119;2;Ontur;Ontur;Ontur
120;2;Ossa de Montiel;Ossa de Montiel;Ossa de Montiel
121;2;Paterna del Madera;Paterna del Madera;Paterna del Madera
122;2;Peñas de San Pedro;Peñas de San Pedro;Peñas de San Pedro
123;2;Peñascosa;Peñascosa;Peñascosa
124;2;Pétrola;Pétrola;Pétrola
125;2;Povedilla;Povedilla;Povedilla
126;2;Pozo Cañada;Pozo Cañada;Pozo Cañada
