Codigo;es-ES;us-EN;gl-ES
11;Oficiales de las fuerzas armadas;Oficiales de las fuerzas armadas;Oficiales de las fuerzas armadas
12;Suboficiales de las fuerzas armadas;Suboficiales de las fuerzas armadas;Suboficiales de las fuerzas armadas
20;Tropa y marinería de las fuerzas armadas;Tropa y marinería de las fuerzas armadas;Tropa y marinería de las fuerzas armadas
1111;Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo;Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo;Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo
1112;Personal directivo de la Administración Pública;Personal directivo de la Administración Pública;Personal directivo de la Administración Pública
1113;Directores de organizaciones de interés social;Directores de organizaciones de interés social;Directores de organizaciones de interés social
1120;Directores generales y presidentes ejecutivos;Directores generales y presidentes ejecutivos;Directores generales y presidentes ejecutivos
1211;Directores financieros;Directores financieros;Directores financieros
1212;Directores de recursos humanos;Directores de recursos humanos;Directores de recursos humanos
1219;Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes;Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes;Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes
1221;Directores comerciales y de ventas;Directores comerciales y de ventas;Directores comerciales y de ventas
1222;Directores de publicidad y relaciones públicas;Directores de publicidad y relaciones públicas;Directores de publicidad y relaciones públicas
1223;Directores de investigación y desarrollo;Directores de investigación y desarrollo;Directores de investigación y desarrollo
1311;Directores de producción de explotaciones agropecuarias y forestales;Directores de producción de explotaciones agropecuarias y forestales;Directores de producción de explotaciones agropecuarias y forestales
1312;Directores de producción de explotaciones pesqueras y acuícolas;Directores de producción de explotaciones pesqueras y acuícolas;Directores de producción de explotaciones pesqueras y acuícolas
1313;Directores de industrias manufactureras;Directores de industrias manufactureras;Directores de industrias manufactureras
1314;Directores de explotaciones mineras;Directores de explotaciones mineras;Directores de explotaciones mineras
1315;Directores de empresas de abastecimiento, transporte, distribución y afines;Directores de empresas de abastecimiento, transporte, distribución y afines;Directores de empresas de abastecimiento, transporte, distribución y afines
1316;Directores de empresas de construcción;Directores de empresas de construcción;Directores de empresas de construcción
1321;Directores de servicios de tecnologías de la información y las comunicaciones (TIC);Directores de servicios de tecnologías de la información y las comunicaciones (TIC);Directores de servicios de tecnologías de la información y las comunicaciones (TIC)
1322;Directores de servicios sociales para niños;Directores de servicios sociales para niños;Directores de servicios sociales para niños
1323;Directores-gerentes de centros sanitarios;Directores-gerentes de centros sanitarios;Directores-gerentes de centros sanitarios
1324;Directores de servicios sociales para personas mayores;Directores de servicios sociales para personas mayores;Directores de servicios sociales para personas mayores
1325;Directores de otros servicios sociales;Directores de otros servicios sociales;Directores de otros servicios sociales
1326;Directores de servicios de educación;Directores de servicios de educación;Directores de servicios de educación
1327;Directores de sucursales de bancos, de servicios financieros y de seguros;Directores de sucursales de bancos, de servicios financieros y de seguros;Directores de sucursales de bancos, de servicios financieros y de seguros
