Codigo;es-ES;us-EN;gl-ES
02;Albacete;Albacete;Albacete
03;Alicante/Alacant;Alicante/Alacant;Alicante/Alacant
04;Almería;Almería;Almería
01;Araba/Álava;Araba/Álava;Araba/Álava
33;Asturias;Asturias;Asturias
05;Ávila;Ávila;Ávila
06;Badajoz;Badajoz;Badajoz
07;Balears, Illes;Balears, Illes;Balears, Illes
08;Barcelona;Barcelona;Barcelona
48;Bizkaia;Bizkaia;Bizkaia
09;Burgos;Burgos;Burgos
10;Cáceres;Cáceres;Cáceres
11;Cádiz;Cádiz;Cádiz
39;Cantabria;Cantabria;Cantabria
12;Castellón/Castelló;Castellón/Castelló;Castellón/Castelló
13;Ciudad Real;Ciudad Real;Ciudad Real
14;Córdoba;Córdoba;Córdoba
15;Coruña, A;Coruña, A;Coruña, A
16;Cuenca;Cuenca;Cuenca
20;Gipuzkoa;Gipuzkoa;Gipuzkoa
17;Girona;Girona;Girona
18;Granada;Granada;Granada
19;Guadalajara;Guadalajara;Guadalajara
21;Huelva;Huelva;Huelva
22;Huesca;Huesca;Huesca
23;Jaén;Jaén;Jaén
24;León;León;León
25;Lleida;Lleida;Lleida
27;Lugo;Lugo;Lugo
28;Madrid;Madrid;Madrid
29;Málaga;Málaga;Málaga
30;Murcia;Murcia;Murcia
31;Navarra;Navarra;Navarra
32;Orense;Ourense;Ourense
34;Palencia;Palencia;Palencia
35;Palmas, Las;Palmas, Las;Palmas, Las
36;Pontevedra;Pontevedra;Pontevedra
26;Rioja, La;Rioja, La;Rioja, La
37;Salamanca;Salamanca;Salamanca
38;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife
40;Segovia;Segovia;Segovia
41;Sevilla;Sevilla;Sevilla
42;Soria;Soria;Soria
43;Tarragona;Tarragona;Tarragona
44;Teruel;Teruel;Teruel
45;Toledo;Toledo;Toledo
46;Valencia/València;Valencia/València;Valencia/València
47;Valladolid;Valladolid;Valladolid
49;Zamora;Zamora;Zamora
50;Zaragoza;Zaragoza;Zaragoza
51;Ceuta;Ceuta;Ceuta
52;Melilla;Melilla;Melilla
