es-ES;en-US;gl-ES
Sin Estudios;Sin Estudios;Sin Estudios
Estudios Primarios O Equivalentes;Estudios Primarios O Equivalentes;Estudios Primarios O Equivalentes
Eso O Equivalente;Eso O Equivalente;Eso O Equivalente
Bachillerato O Equivalente;Bachillerato O Equivalente;Bachillerato O Equivalente
Diplomatura en biblioteconomía e documentación/Grao en información e documentación/Licenciatura en documentación;Diplomatura en biblioteconomía e documentación/Grao en información e documentación/Licenciatura en documentación;Diplomatura en biblioteconomía e documentación/Grao en información e documentación/Licenciatura en documentación
Diplomatura en ciencias empresariais/Grao en ciencias empresariais/ Grao en xestión en medianas e pequenas empresas/Grao en comercio;Diplomatura en ciencias empresariais/Grao en ciencias empresariais/ Grao en xestión en medianas e pequenas empresas/Grao en comercio;Diplomatura en ciencias empresariais/Grao en ciencias empresariais/ Grao en xestión en medianas e pequenas empresas/Grao en comercio
Diplomatura en xestión e administración pública/Grao en dirección e xestión pública;Diplomatura en xestión e administración pública/Grao en dirección e xestión pública;Diplomatura en xestión e administración pública/Grao en dirección e xestión pública
Diplomatura/ Grao en óptica e optometría;Diplomatura/ Grao en óptica e optometría;Diplomatura/ Grao en óptica e optometría
Diplomatura/Grao en educación social;Diplomatura/Grao en educación social;Diplomatura/Grao en educación social
Diplomatura/Grao en enfermería;Diplomatura/Grao en enfermería;Diplomatura/Grao en enfermería
Diplomatura/Grao en fisioterapia;Diplomatura/Grao en fisioterapia;Diplomatura/Grao en fisioterapia
Diplomatura/Grao en logopedia;Diplomatura/Grao en logopedia;Diplomatura/Grao en logopedia
Diplomatura/Grao en relacións laborais/relacións laborais e recursos humanos;Diplomatura/Grao en relacións laborais/relacións laborais e recursos humanos;Diplomatura/Grao en relacións laborais/relacións laborais e recursos humanos
Diplomatura/Grao en terapia ocupacional;Diplomatura/Grao en terapia ocupacional;Diplomatura/Grao en terapia ocupacional
Diplomatura/Grao en traballo social;Diplomatura/Grao en traballo social;Diplomatura/Grao en traballo social
Diplomatura/Grao en turismo;Diplomatura/Grao en turismo;Diplomatura/Grao en turismo
Grao en arte dramática;Grao en arte dramática;Grao en arte dramática
Grao en deseño de interiores;Grao en deseño de interiores;Grao en deseño de interiores
Grao en deseño gráfico;Grao en deseño gráfico;Grao en deseño gráfico
Grao en deseño téxtil e moda;Grao en deseño téxtil e moda;Grao en deseño téxtil e moda
Grao en enxeñaría da enerxía;Grao en enxeñaría da enerxía;Grao en enxeñaría da enerxía
Grao en enxeñería de tecnoloxías industriais/Grao en enxeñería mecánica/enxeñería industrial;Grao en enxeñería de tecnoloxías industriais/Grao en enxeñería mecánica/enxeñería industrial;Grao en enxeñería de tecnoloxías industriais/Grao en enxeñería mecánica/enxeñería industrial
Grao en enxeñería dos recursos mineiros e enerxéticos/enxeñería de minas;Grao en enxeñería dos recursos mineiros e enerxéticos/enxeñería de minas;Grao en enxeñería dos recursos mineiros e enerxéticos/enxeñería de minas
Grao en música;Grao en música;Grao en música
Grao en enxeñería de edificación/arquitectura técnica /arquitectura técnica en execución de obras;Grao en enxeñería de edificación/arquitectura técnica /arquitectura técnica en execución de obras;Grao en enxeñería de edificación/arquitectura técnica /arquitectura técnica en execución de obras
Enxeñería industrial, orientación en organización industrial/Grao en enxeñería en organización industrial;Enxeñería industrial, orientación en organización industrial/Grao en enxeñería en organización industrial;Enxeñería industrial, orientación en organización industrial/Grao en enxeñería en organización industrial
Enxeñería téc. Telecomunicacións, espec. Telemática/ Grao enxeñería tecnoloxías telecomunicación mención telemática/ enx. Telecomunicación, espec. Telemática;Enxeñería téc. Telecomunicacións, espec. Telemática/ Grao enxeñería tecnoloxías telecomunicación mención telemática/ enx. Telecomunicación, espec. Telemática;Enxeñería téc. Telecomunicacións, espec. Telemática/ Grao enxeñería tecnoloxías telecomunicación mención telemática/ enx. Telecomunicación, espec. Telemática
Enxeñería téc. Telecomunicacións, espec. Sistemas electrónicos/ Grao enxeñería tecnoloxías telecomunicación mención sistemas electrónicos/ enx.telecomunicación, espec. Sist. Elect.;Enxeñería téc. Telecomunicacións, espec. Sistemas electrónicos/ Grao enxeñería tecnoloxías telecomunicación mención sistemas electrónicos/ enx.telecomunicación, espec. Sist. Elect.;Enxeñería téc. Telecomunicacións, espec. Sistemas electrónicos/ Grao enxeñería tecnoloxías telecomunicación mención sistemas electrónicos/ enx.telecomunicación, espec. Sist. Elect.
Enxeñería tec.industrial, especialidade electrónica industrial e automática/Grao en enx.electrónica industrial e automática/enxeñeiro industrial esp. Electrónica;Enxeñería tec.industrial, especialidade electrónica industrial e automática/Grao en enx.electrónica industrial e automática/enxeñeiro industrial esp. Electrónica;Enxeñería tec.industrial, especialidade electrónica industrial e automática/Grao en enx.electrónica industrial e automática/enxeñeiro industrial esp. Electrónica
Enxeñeria técnica aeronautica/ Grao en enxeñeria aeroespacial;Enxeñeria técnica aeronautica/ Grao en enxeñeria aeroespacial;Enxeñeria técnica aeronautica/ Grao en enxeñeria aeroespacial
Enxeñería técnica agrícola/Grao en enxeñería agrícola e agroalimentaria/Grao en enxeñería agraria/enxeñería agrónoma;Enxeñería técnica agrícola/Grao en enxeñería agrícola e agroalimentaria/Grao en enxeñería agraria/enxeñería agrónoma;Enxeñería técnica agrícola/Grao en enxeñería agrícola e agroalimentaria/Grao en enxeñería agraria/enxeñería agrónoma
Enxeñería técnica de obras públicas/Grao en enxeñería de obras públicas/Grao en enxeñería civil/enxeñería de camiños, canais e portos;Enxeñería técnica de obras públicas/Grao en enxeñería de obras públicas/Grao en enxeñería civil/enxeñería de camiños, canais e portos;Enxeñería técnica de obras públicas/Grao en enxeñería de obras públicas/Grao en enxeñería civil/enxeñería de camiños, canais e portos
Enxeñería técnica de telecomunicación/Grao en enxeñería de tecnoloxía de telecomunicación/enxeñería de telecomunicación;Enxeñería técnica de telecomunicación/Grao en enxeñería de tecnoloxía de telecomunicación/enxeñería de telecomunicación;Enxeñería técnica de telecomunicación/Grao en enxeñería de tecnoloxía de telecomunicación/enxeñería de telecomunicación
Enxeñería técnica en deseño industrial/Grao en enxeñería en deseño industrial e desenvolvemento do produto;Enxeñería técnica en deseño industrial/Grao en enxeñería en deseño industrial e desenvolvemento do produto;Enxeñería técnica en deseño industrial/Grao en enxeñería en deseño industrial e desenvolvemento do produto
Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática
Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática
Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía;Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía;Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía
Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes;Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes;Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes
Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica;Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica;Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica
Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica;Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica;Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica
